번호,동이름,버스의 수,정류장의 수
1,서울특별시 강남구 개포1동,68,16
2,서울특별시 도봉구 방학3동,74,36
3,서울특별시 노원구 중계4동,20,7
4,서울특별시 노원구 상계6.7동,90,32
5,서울특별시 중구 중림동,42,11
6,서울특별시 양천구 신정4동,90,17
7,서울특별시 강남구 논현2동,82,26
8,서울특별시 중랑구 묵2동,35,19
9,서울특별시 강북구 번3동,64,41
10,서울특별시 마포구 대흥동,147,33
11,서울특별시 동대문구 휘경1동,69,15
12,서울특별시 송파구 잠실본동,64,14
13,서울특별시 강서구 화곡본동,69,26
14,서울특별시 서초구 방배2동,91,38
15,서울특별시 관악구 은천동,87,41
16,서울특별시 도봉구 창1동,46,22
17,서울특별시 중구 황학동,25,6
18,서울특별시 강동구 둔촌1동,13,7
19,서울특별시 구로구 구로2동,146,37
20,서울특별시 종로구 창신1동,30,10
21,서울특별시 광진구 구의2동,57,25
22,서울특별시 노원구 공릉2동,147,60
23,서울특별시 중랑구 상봉2동,57,14
24,서울특별시 강서구 방화2동,167,33
25,서울특별시 중구 신당동,30,8
26,서울특별시 종로구 교남동,50,22
27,서울특별시 성동구 응봉동,44,27
28,서울특별시 영등포구 신길3동,48,29
29,서울특별시 강남구 일원2동,22,10
30,서울특별시 성동구 금호2.3가동,66,50
31,서울특별시 강남구 개포4동,89,35
32,서울특별시 광진구 중곡2동,47,21
33,서울특별시 성동구 행당1동,86,26
34,서울특별시 송파구 오륜동,60,21
35,서울특별시 성북구 장위3동,87,34
36,서울특별시 강서구 화곡4동,48,31
37,서울특별시 성북구 장위2동,56,28
38,서울특별시 은평구 갈현2동,71,32
39,서울특별시 광진구 능동,33,8
40,서울특별시 송파구 삼전동,42,12
41,서울특별시 구로구 구로5동,84,36
42,서울특별시 중랑구 망우본동,175,56
43,서울특별시 도봉구 쌍문3동,54,16
44,서울특별시 영등포구 여의동,293,56
45,서울특별시 마포구 망원2동,48,32
46,서울특별시 은평구 응암1동,85,25
47,서울특별시 양천구 목5동,112,54
48,서울특별시 성북구 정릉1동,58,15
49,서울특별시 강동구 암사1동,23,12
50,서울특별시 영등포구 신길4동,30,11
51,서울특별시 서초구 서초4동,88,35
52,서울특별시 금천구 시흥5동,86,33
53,서울특별시 관악구 청룡동,72,17
54,서울특별시 용산구 이촌1동,68,21
55,서울특별시 중구 약수동,26,6
56,서울특별시 광진구 중곡1동,48,18
57,서울특별시 용산구 용산2가동,51,28
58,서울특별시 동대문구 휘경2동,76,17
59,서울특별시 성북구 동선동,74,20
60,서울특별시 서초구 반포본동,37,4
61,서울특별시 성동구 금호4가동,49,25
62,서울특별시 중구 장충동,42,13
63,서울특별시 강동구 명일1동,56,18
64,서울특별시 용산구 이촌2동,32,8
65,서울특별시 강서구 발산1동,125,60
66,서울특별시 강서구 방화3동,58,22
67,서울특별시 노원구 상계3.4동,36,15
68,서울특별시 송파구 마천1동,44,14
69,서울특별시 성북구 돈암2동,38,32
70,서울특별시 강서구 염창동,116,36
71,서울특별시 은평구 응암3동,82,19
72,서울특별시 중구 다산동,26,6
73,서울특별시 성동구 성수1가1동,61,21
74,서울특별시 송파구 문정1동,64,16
75,서울특별시 강북구 번1동,94,26
76,서울특별시 관악구 남현동,40,6
77,서울특별시 종로구 가회동,36,23
78,서울특별시 용산구 이태원2동,28,18
79,서울특별시 광진구 중곡4동,37,31
80,서울특별시 송파구 가락2동,60,23
81,서울특별시 관악구 미성동,137,36
82,서울특별시 종로구 부암동,95,36
83,서울특별시 양천구 신정3동,259,65
84,서울특별시 강북구 번2동,86,48
85,서울특별시 영등포구 대림1동,39,15
86,서울특별시 성북구 월곡2동,51,28
87,서울특별시 도봉구 쌍문1동,108,44
88,서울특별시 은평구 역촌동,89,50
89,서울특별시 중구 광희동,104,19
90,서울특별시 마포구 용강동,37,21
91,서울특별시 강남구 대치4동,70,17
92,서울특별시 서대문구 북아현동,56,15
93,서울특별시 서대문구 홍은1동,60,26
94,서울특별시 성북구 삼선동,106,42
95,서울특별시 용산구 한남동,143,45
96,서울특별시 관악구 신원동,15,10
97,서울특별시 금천구 시흥1동,158,43
98,서울특별시 강남구 도곡1동,91,20
99,서울특별시 마포구 서교동,227,75
100,서울특별시 관악구 난곡동,70,21
101,서울특별시 마포구 염리동,22,11
102,서울특별시 양천구 신정6동,78,23
103,서울특별시 강동구 성내3동,30,15
104,서울특별시 성동구 송정동,28,16
105,서울특별시 양천구 신월3동,31,9
106,서울특별시 노원구 중계2.3동,98,33
107,서울특별시 강남구 세곡동,166,54
108,서울특별시 동대문구 답십리1동,68,29
109,서울특별시 성북구 월곡1동,68,32
110,서울특별시 서초구 반포1동,99,23
111,서울특별시 강북구 수유3동,99,25
112,서울특별시 광진구 구의1동,42,15
113,서울특별시 양천구 신정2동,29,15
114,서울특별시 강동구 암사3동,21,11
115,서울특별시 용산구 효창동,35,16
116,서울특별시 용산구 이태원1동,36,15
117,서울특별시 도봉구 창4동,98,41
118,서울특별시 강서구 방화1동,80,21
119,서울특별시 동작구 신대방2동,74,30
120,서울특별시 성북구 안암동,55,31
121,서울특별시 노원구 중계1동,47,18
122,서울특별시 성북구 길음1동,100,31
123,서울특별시 서대문구 남가좌2동,61,22
124,서울특별시 양천구 신월5동,50,13
125,서울특별시 송파구 잠실3동,106,21
126,서울특별시 중랑구 상봉1동,70,16
127,서울특별시 영등포구 문래동,117,46
128,서울특별시 서초구 서초2동,145,43
129,서울특별시 도봉구 방학1동,91,34
130,서울특별시 송파구 풍납2동,47,24
131,서울특별시 노원구 월계2동,87,38
132,서울특별시 구로구 오류2동,126,81
133,서울특별시 용산구 서빙고동,70,23
134,서울특별시 용산구 원효로1동,76,27
135,서울특별시 강동구 천호1동,29,13
136,서울특별시 강서구 화곡1동,92,26
137,서울특별시 강서구 등촌2동,64,9
138,서울특별시 서대문구 남가좌1동,64,13
139,서울특별시 강북구 삼양동,99,34
140,서울특별시 도봉구 창5동,57,21
141,서울특별시 광진구 자양2동,33,13
142,서울특별시 강남구 역삼2동,87,27
143,서울특별시 동대문구 장안2동,99,34
144,서울특별시 구로구 개봉2동,62,33
145,서울특별시 구로구 고척1동,77,31
146,서울특별시 강북구 송중동,158,67
147,서울특별시 종로구 삼청동,27,15
148,서울특별시 동작구 신대방1동,47,16
149,서울특별시 강동구 성내2동,33,16
150,서울특별시 양천구 목1동,120,32
151,서울특별시 강서구 가양2동,33,12
152,서울특별시 서대문구 북가좌1동,94,13
153,서울특별시 동작구 노량진1동,217,52
154,서울특별시 구로구 고척2동,59,37
155,서울특별시 노원구 월계1동,139,50
156,서울특별시 동대문구 장안1동,82,28
157,서울특별시 성동구 왕십리도선동,81,22
158,서울특별시 강남구 수서동,66,17
159,서울특별시 동작구 사당1동,66,13
160,서울특별시 서초구 방배1동,43,20
161,서울특별시 은평구 증산동,93,13
162,서울특별시 강북구 수유2동,57,15
163,서울특별시 강동구 천호3동,23,11
164,서울특별시 종로구 창신3동,6,6
165,서울특별시 영등포구 신길1동,75,23
166,서울특별시 송파구 가락본동,73,29
167,서울특별시 구로구 구로1동,41,23
168,서울특별시 강북구 우이동,151,42
169,서울특별시 마포구 도화동,61,35
170,서울특별시 은평구 응암2동,54,24
171,서울특별시 은평구 진관동,254,69
172,서울특별시 은평구 대조동,106,30
173,서울특별시 도봉구 도봉1동,98,38
174,서울특별시 영등포구 신길5동,45,23
175,서울특별시 동대문구 이문1동,57,25
176,서울특별시 중랑구 면목7동,70,14
177,서울특별시 성동구 성수2가3동,36,17
178,서울특별시 종로구 종로5.6가동,113,21
179,서울특별시 은평구 갈현1동,72,42
180,서울특별시 종로구 창신2동,23,2
181,서울특별시 마포구 망원1동,30,22
182,서울특별시 강남구 논현1동,109,19
183,서울특별시 양천구 신월1동,24,10
184,서울특별시 서초구 반포2동,62,15
185,서울특별시 관악구 난향동,57,17
186,서울특별시 종로구 무악동,43,4
187,서울특별시 송파구 거여2동,23,11
188,서울특별시 송파구 가락1동,38,9
189,서울특별시 송파구 오금동,76,27
190,서울특별시 송파구 방이1동,25,10
191,서울특별시 강북구 미아동,69,27
192,서울특별시 성동구 성수1가2동,46,12
193,서울특별시 동작구 상도1동,141,44
194,서울특별시 송파구 마천2동,48,11
195,서울특별시 양천구 목4동,57,15
196,서울특별시 강동구 둔촌2동,35,27
197,서울특별시 성북구 장위1동,81,39
198,서울특별시 강서구 화곡8동,49,27
199,서울특별시 강동구 상일동,84,31
200,서울특별시 양천구 신월7동,78,22
201,서울특별시 노원구 상계1동,74,34
202,서울특별시 구로구 가리봉동,51,9
203,서울특별시 중랑구 중화2동,70,29
204,서울특별시 성동구 성수2가1동,64,23
205,서울특별시 관악구 행운동,73,15
206,서울특별시 구로구 개봉1동,112,52
207,서울특별시 마포구 상암동,338,79
208,서울특별시 관악구 인헌동,32,23
209,서울특별시 강남구 압구정동,114,23
210,서울특별시 금천구 독산1동,166,66
211,서울특별시 강남구 역삼1동,178,44
212,서울특별시 관악구 청림동,16,7
213,서울특별시 구로구 구로4동,78,24
214,서울특별시 영등포구 도림동,45,27
215,서울특별시 강동구 고덕1동,35,19
216,서울특별시 강남구 개포2동,130,38
217,서울특별시 강남구 도곡2동,73,27
218,서울특별시 은평구 불광1동,79,37
219,서울특별시 성북구 보문동,39,10
220,서울특별시 동대문구 답십리2동,59,16
221,서울특별시 마포구 서강동,76,60
222,서울특별시 금천구 독산3동,100,23
223,서울특별시 영등포구 양평2동,125,36
224,서울특별시 종로구 숭인2동,56,7
225,서울특별시 구로구 구로3동,78,39
226,서울특별시 종로구 청운효자동,62,26
227,서울특별시 중구 소공동,176,30
228,서울특별시 서초구 반포3동,46,16
229,서울특별시 용산구 보광동,25,12
230,서울특별시 강남구 삼성1동,154,32
231,서울특별시 강서구 공항동,144,34
232,서울특별시 송파구 잠실6동,65,15
233,서울특별시 성북구 돈암1동,59,11
234,서울특별시 성북구 석관동,114,29
235,서울특별시 관악구 보라매동,66,22
236,서울특별시 관악구 낙성대동,95,37
237,서울특별시 영등포구 영등포동,193,46
238,서울특별시 용산구 후암동,30,16
239,서울특별시 금천구 시흥4동,53,25
240,서울특별시 광진구 군자동,81,23
241,서울특별시 중랑구 신내2동,114,21
242,서울특별시 동대문구 전농2동,50,13
243,서울특별시 노원구 상계2동,73,27
244,서울특별시 노원구 상계9동,51,24
245,서울특별시 금천구 독산4동,58,14
246,서울특별시 송파구 송파1동,56,12
247,서울특별시 도봉구 방학2동,37,20
248,서울특별시 중랑구 신내1동,220,46
249,서울특별시 성북구 정릉4동,104,34
250,서울특별시 강남구 신사동,77,13
251,서울특별시 도봉구 도봉2동,92,47
252,서울특별시 마포구 합정동,55,26
253,서울특별시 강북구 인수동,95,56
254,서울특별시 양천구 신정1동,81,29
255,서울특별시 중구 회현동,223,39
256,서울특별시 성북구 길음2동,84,22
257,서울특별시 송파구 잠실7동,26,4
258,서울특별시 노원구 상계10동,76,23
259,서울특별시 성동구 행당2동,43,27
260,서울특별시 송파구 풍납1동,14,6
261,서울특별시 마포구 성산1동,97,27
262,서울특별시 서대문구 북가좌2동,84,22
263,서울특별시 중구 청구동,15,6
264,서울특별시 강서구 가양1동,134,50
265,서울특별시 중구 을지로동,50,15
266,서울특별시 서초구 내곡동,175,55
267,서울특별시 마포구 공덕동,88,35
268,서울특별시 중랑구 망우3동,25,10
269,서울특별시 노원구 하계2동,60,21
270,서울특별시 강동구 천호2동,40,21
271,서울특별시 금천구 가산동,211,114
272,서울특별시 마포구 연남동,30,21
273,서울특별시 중구 신당5동,33,12
274,서울특별시 영등포구 당산2동,131,45
275,서울특별시 서초구 반포4동,82,35
276,서울특별시 송파구 거여1동,13,6
277,서울특별시 동대문구 이문2동,35,12
278,서울특별시 은평구 신사1동,54,20
279,서울특별시 구로구 오류1동,61,16
280,서울특별시 서대문구 홍은2동,174,68
281,서울특별시 광진구 구의3동,29,21
282,서울특별시 동작구 사당5동,53,26
283,서울특별시 동작구 상도3동,68,31
284,서울특별시 중구 필동,40,6
285,서울특별시 마포구 신수동,35,24
286,서울특별시 송파구 송파2동,35,9
287,서울특별시 강남구 대치1동,90,16
288,서울특별시 영등포구 대림2동,37,13
289,서울특별시 양천구 신정7동,59,22
290,서울특별시 성동구 용답동,38,9
291,서울특별시 송파구 석촌동,84,18
292,서울특별시 강서구 등촌3동,120,58
293,서울특별시 영등포구 신길7동,62,23
294,서울특별시 강동구 성내1동,47,21
295,서울특별시 광진구 자양1동,40,13
296,서울특별시 강동구 암사2동,11,7
297,서울특별시 관악구 삼성동,116,31
298,서울특별시 서초구 양재1동,241,70
299,서울특별시 서대문구 천연동,78,37
300,서울특별시 마포구 아현동,85,20
301,서울특별시 송파구 장지동,192,49
302,서울특별시 동대문구 용신동,217,40
303,서울특별시 구로구 수궁동,168,39
304,서울특별시 강북구 송천동,107,23
305,서울특별시 서초구 방배본동,57,26
306,서울특별시 중랑구 면목4동,60,14
307,서울특별시 강동구 명일2동,37,11
308,서울특별시 관악구 신림동,76,17
309,서울특별시 동작구 사당4동,6,3
310,서울특별시 관악구 중앙동,56,14
311,서울특별시 관악구 대학동,164,54
312,서울특별시 성동구 옥수동,67,38
313,서울특별시 도봉구 창3동,38,13
314,서울특별시 영등포구 영등포본동,51,19
315,서울특별시 성동구 왕십리2동,21,10
316,서울특별시 강남구 일원본동,102,29
317,서울특별시 종로구 사직동,158,34
318,서울특별시 종로구 이화동,85,23
319,서울특별시 종로구 숭인1동,14,12
320,서울특별시 은평구 신사2동,40,17
321,서울특별시 구로구 신도림동,104,41
322,서울특별시 영등포구 대림3동,70,43
323,서울특별시 송파구 잠실2동,76,13
324,서울특별시 동작구 대방동,193,52
325,서울특별시 강북구 수유1동,109,42
326,서울특별시 성북구 종암동,134,55
327,서울특별시 동대문구 전농1동,140,32
328,서울특별시 관악구 성현동,60,30
329,서울특별시 금천구 독산2동,60,8
330,서울특별시 노원구 월계3동,150,27
331,서울특별시 동작구 상도4동,67,35
332,서울특별시 노원구 하계1동,97,39
333,서울특별시 노원구 상계5동,47,26
334,서울특별시 도봉구 쌍문2동,57,18
335,서울특별시 강북구 삼각산동,52,31
336,서울특별시 서대문구 홍제2동,63,9
337,서울특별시 강동구 길동,69,36
338,서울특별시 강동구 고덕2동,73,21
339,서울특별시 관악구 조원동,80,25
340,서울특별시 동작구 흑석동,150,56
341,서울특별시 은평구 불광2동,62,27
342,서울특별시 광진구 광장동,37,32
343,서울특별시 구로구 개봉3동,32,25
344,서울특별시 성동구 마장동,64,23
345,서울특별시 서초구 잠원동,81,24
346,서울특별시 중구 동화동,10,4
347,서울특별시 성동구 금호1가동,52,42
348,서울특별시 서대문구 신촌동,307,52
349,서울특별시 양천구 신월6동,36,12
350,서울특별시 강서구 화곡3동,36,8
351,서울특별시 은평구 녹번동,118,28
352,서울특별시 영등포구 신길6동,62,26
353,서울특별시 도봉구 창2동,75,27
354,서울특별시 종로구 평창동,123,59
355,서울특별시 성북구 정릉2동,84,39
356,서울특별시 종로구 종로1.2.3.4가동,345,73
357,서울특별시 양천구 목3동,56,9
358,서울특별시 광진구 자양3동,41,16
359,서울특별시 용산구 용문동,22,14
360,서울특별시 성북구 성북동,79,33
361,서울특별시 동대문구 청량리동,108,22
362,서울특별시 중랑구 면목본동,81,26
363,서울특별시 중랑구 면목2동,36,23
364,서울특별시 금천구 시흥3동,41,19
365,서울특별시 도봉구 쌍문4동,41,18
366,서울특별시 영등포구 당산1동,68,19
367,서울특별시 서초구 양재2동,158,48
368,서울특별시 송파구 잠실4동,30,9
369,서울특별시 금천구 시흥2동,29,19
370,서울특별시 용산구 원효로2동,49,24
371,서울특별시 광진구 자양4동,47,15
372,서울특별시 광진구 화양동,66,19
373,서울특별시 노원구 상계8동,32,14
374,서울특별시 송파구 방이2동,40,13
375,서울특별시 종로구 혜화동,96,34
376,서울특별시 동대문구 회기동,23,10
377,서울특별시 노원구 공릉1동,147,52
378,서울특별시 용산구 남영동,116,23
379,서울특별시 동작구 상도2동,91,38
380,서울특별시 서초구 방배3동,106,49
381,서울특별시 동대문구 제기동,141,25
382,서울특별시 서초구 서초1동,70,37
383,서울특별시 은평구 구산동,71,32
384,서울특별시 서대문구 홍제1동,146,23
385,서울특별시 강남구 청담동,108,25
386,서울특별시 동작구 사당2동,121,29
387,서울특별시 송파구 문정2동,70,17
388,서울특별시 중랑구 면목제3.8동,83,27
389,서울특별시 관악구 신사동,66,20
390,서울특별시 서대문구 충현동,104,48
391,서울특별시 은평구 수색동,169,20
392,서울특별시 강남구 일원1동,21,14
393,서울특별시 성북구 정릉3동,63,28
394,서울특별시 강남구 대치2동,146,34
395,서울특별시 성동구 사근동,43,20
396,서울특별시 강서구 등촌1동,74,18
397,서울특별시 서초구 서초3동,155,72
398,서울특별시 강동구 강일동,163,54
399,서울특별시 강서구 화곡2동,49,30
400,서울특별시 양천구 신월4동,55,11
401,서울특별시 강서구 가양3동,47,16
402,서울특별시 마포구 성산2동,121,40
403,서울특별시 중랑구 중화1동,43,14
404,서울특별시 서대문구 홍제3동,101,48
405,서울특별시 관악구 서원동,96,19
406,서울특별시 영등포구 양평1동,59,22
407,서울특별시 노원구 중계본동,64,19
408,서울특별시 동작구 노량진2동,88,12
409,서울특별시 서대문구 연희동,252,61
410,서울특별시 동작구 사당3동,51,23
411,서울특별시 중랑구 묵1동,89,31
412,서울특별시 서초구 방배4동,68,29
413,서울특별시 광진구 중곡3동,62,23
414,서울특별시 용산구 한강로동,201,43
415,서울특별시 양천구 신월2동,59,12
416,서울특별시 강서구 우장산동,94,30
417,서울특별시 관악구 서림동,78,22
418,서울특별시 용산구 청파동,43,23
419,서울특별시 양천구 목2동,49,17
420,서울특별시 중구 명동,150,27
421,서울특별시 중랑구 면목5동,37,15
422,서울특별시 강남구 삼성2동,77,22
423,서울특별시 강서구 화곡6동,96,26
