코드,자치구,동,"20,30대 인구비율", 사업체 수 , 종사자 수 , 버스정류장 , 지하철 , 편의점 , 카페 , 마트 , 은행 , 파출소 , 우체국 , 보건소 , 의원 , 아파트 매매가 
a1,강동구,길동,0.39,3816,18259,69,16,230,587,352,202,19,12,20,780,454.3
a2,강동구,천호2동,0.36,3424,14008,40,18,271,674,384,228,8,17,15,880,487.17
a3,강동구,암사1동,0.37,1947,5139,23,10,177,460,269,154,11,10,9,604,624.42
a4,강동구,둔촌2동,0.37,1610,9104,35,14,231,569,321,183,17,12,9,709,720.16
a5,강동구,둔촌1동,0.38,404,1318,13,13,231,569,321,183,6,9,11,709,720.16
a6,강동구,성내3동,0.40,2384,10273,30,16,262,612,327,208,9,15,15,745,546.78
a7,강동구,성내1동,0.38,2045,15379,47,17,262,612,327,208,5,19,11,745,546.78
a8,강동구,성내2동,0.39,1928,7545,33,17,262,612,327,208,10,18,14,745,546.78
a9,강동구,천호3동,0.37,1877,6171,23,18,271,674,384,228,14,16,18,880,487.17
a10,강동구,천호1동,0.37,1558,5102,29,16,271,674,384,228,12,16,11,880,487.17
a11,강동구,암사3동,0.34,603,1911,21,6,177,460,269,154,13,7,6,604,624.42
a12,강동구,암사2동,0.38,812,3671,11,9,177,460,269,154,11,11,8,604,624.42
a13,강동구,고덕2동,0.35,1945,3801,73,7,80,223,152,92,10,10,6,293,824.26
a14,강동구,고덕1동,0.36,550,1749,35,6,80,223,152,92,13,8,6,293,824.26
a15,강동구,명일2동,0.35,1267,5137,37,7,165,375,275,145,11,13,7,473,542.59
a16,강동구,명일1동,0.36,1665,5027,56,11,165,375,275,145,14,9,6,473,542.59
a17,강동구,상일동,0.36,1238,5441,84,4,54,142,90,74,9,9,7,148,730.54
a18,강동구,강일동,0.33,683,14694,163,6,42,113,72,68,4,6,4,125,730.54
a19,송파구,잠실3동,0.35,1218,8056,106,20,663,2166,1421,708,4,28,2,2012,1145.23
a20,송파구,잠실2동,0.33,765,3661,76,23,663,2166,1421,708,5,29,2,2012,1145.23
a21,송파구,잠실7동,0.33,195,976,26,18,298,1166,402,362,3,17,0,1038,1145.23
a22,송파구,잠실6동,0.36,1959,23128,65,23,663,2166,1421,708,3,45,3,2012,1007.01
a23,송파구,잠실4동,0.37,462,1727,30,25,663,2166,1421,708,4,42,10,2012,1007.01
a24,송파구,잠실본동,0.45,3052,17039,64,15,298,1166,402,362,2,22,0,1038,1145.23
a25,송파구,장지동,0.37,1449,9945,192,23,202,574,382,178,5,14,2,604,635.98
a26,송파구,문정2동,0.39,2170,10862,70,21,202,574,382,178,4,10,1,604,635.98
a27,송파구,문정1동,0.39,1434,6648,64,17,171,513,318,165,2,19,2,536,635.98
a28,송파구,가락2동,0.37,1832,8739,60,15,334,1053,570,293,5,20,2,944,893.47
a29,송파구,가락1동,0.32,3322,11184,38,20,334,1053,570,293,3,30,1,944,893.47
a30,송파구,가락본동,0.40,3460,28071,73,19,334,1053,570,293,4,25,3,944,893.47
a31,송파구,삼전동,0.45,1972,10176,42,20,164,635,238,176,4,26,3,545,548.12
a32,송파구,석촌동,0.43,2757,14313,84,18,203,686,348,236,1,21,3,641,658.48
a33,송파구,송파2동,0.38,881,5434,35,19,249,823,405,272,3,26,3,741,705.06
a34,송파구,송파1동,0.44,2442,11419,56,20,249,823,405,272,2,18,2,741,705.06
a35,송파구,오금동,0.37,3197,16645,92,15,183,491,333,167,4,22,2,541,612.97
a36,송파구,오륜동,0.33,510,4286,60,28,378,1093,521,352,9,38,13,1062,779.12
a37,송파구,방이2동,0.43,2771,21572,40,19,378,1093,521,352,3,24,2,1062,779.12
a38,송파구,방이1동,0.37,1312,8976,25,13,378,1093,521,352,3,23,1,1062,779.12
a39,송파구,마천2동,0.34,1340,3993,48,5,63,145,138,45,3,7,2,200,523.02
a40,송파구,마천1동,0.33,910,2057,44,2,44,145,138,24,2,4,2,200,523.02
a41,송파구,거여2동,0.34,1223,4400,23,4,100,260,187,74,4,8,2,329,554.9
a42,송파구,거여1동,0.36,828,2534,13,9,100,260,187,74,5,16,2,329,554.9
a43,송파구,풍납2동,0.39,1236,14873,47,17,691,2176,1397,668,5,17,12,1932,578.96
a44,송파구,풍납1동,0.36,806,2501,14,11,201,547,759,218,4,15,13,660,578.96
a45,강남구,개포2동,0.40,1010,4045,130,19,548,1966,560,609,4,24,0,1541,1364.82
a46,강남구,대치2동,0.36,3220,50271,146,31,428,1626,436,525,5,33,2,1444,1097
a47,강남구,청담동,0.38,3793,36500,108,39,344,1495,323,435,14,24,11,1383,989.36
a48,강남구,압구정동,0.34,3778,28387,114,44,431,1942,406,495,14,19,11,2209,396.2
a49,강남구,세곡동,0.36,437,2422,166,9,133,368,253,29,3,4,0,341,741.29
a50,강남구,수서동,0.36,1333,17294,66,11,185,577,297,207,2,19,1,640,873.71
a51,강남구,일원2동,0.38,575,5064,22,21,674,2574,740,813,5,28,0,2059,1364.82
a52,강남구,일원1동,0.39,894,5454,21,11,234,753,342,252,4,24,1,748,888.67
a53,강남구,일원본동,0.34,492,8073,102,13,234,753,342,252,5,15,1,748,888.67
a54,강남구,개포4동,0.39,3257,11318,89,21,402,1458,436,466,5,37,0,1197,1364.82
a55,강남구,개포1동,0.38,459,1318,68,18,402,1458,436,466,4,22,0,1197,1364.82
a56,강남구,도곡2동,0.35,1646,18453,73,32,444,1920,436,532,2,38,3,1699,1026.65
a57,강남구,도곡1동,0.39,1392,14298,91,35,444,1920,436,532,3,35,3,1699,1026.65
a58,강남구,역삼2동,0.39,2956,34579,87,94,705,2932,639,808,4,46,3,2675,950.64
a59,강남구,역삼1동,0.53,12516,144308,178,94,705,2932,639,808,10,56,13,2675,950.64
a60,강남구,대치4동,0.45,3242,26790,70,28,428,1626,436,525,3,20,10,1444,1097
a61,강남구,대치1동,0.32,1004,6550,90,19,428,1626,436,525,3,18,0,1444,1097
a62,강남구,삼성2동,0.40,3008,30057,77,37,476,2017,406,596,9,35,10,1626,1000.78
a63,강남구,삼성1동,0.39,3170,49715,154,25,476,2017,406,596,9,18,10,1626,1000.78
a64,강남구,논현2동,0.45,5128,56495,82,74,596,2786,483,705,11,33,10,3054,908.44
a65,강남구,논현1동,0.51,4970,38902,109,74,596,2786,483,705,8,33,8,3054,908.44
a66,강남구,신사동,0.39,4334,27047,143,47,431,1942,406,495,12,21,9,2209,396.2
a67,서초구,내곡동,0.35,460,5035,175,3,31,439,162,26,2,6,0,274,700.36
a68,서초구,양재2동,0.42,4981,44373,158,17,316,1148,346,357,6,30,3,958,682.78
a69,서초구,양재1동,0.37,3090,30202,241,38,348,1351,370,399,8,40,4,1023,682.78
a70,서초구,방배본동,0.35,1606,10745,57,29,306,1303,363,399,4,18,5,1169,761.6
a71,서초구,방배3동,0.37,1103,10484,106,34,306,1303,363,399,4,23,2,1169,761.6
a72,서초구,방배2동,0.39,1771,14947,91,27,306,1303,363,399,3,14,5,1169,761.6
a73,서초구,방배1동,0.41,1629,13769,43,28,306,1303,363,399,4,20,2,1169,761.6
a74,서초구,방배4동,0.38,2265,13140,68,36,306,1303,363,399,4,22,5,1169,761.6
a76,서초구,반포3동,0.34,887,5949,46,31,632,3115,678,812,3,15,0,3226,1001.35
a77,서초구,반포2동,0.31,428,2223,62,25,591,2845,610,723,6,25,1,3040,1219.41
a78,서초구,반포1동,0.41,1548,9227,99,101,591,2845,610,723,8,28,0,3040,1219.41
a79,서초구,반포본동,0.29,668,2280,37,16,591,2845,610,723,4,16,1,3040,1219.41
a80,서초구,잠원동,0.37,2176,13886,81,59,335,1752,325,411,9,26,3,2048,1001.35
a81,서초구,서초4동,0.33,2704,27523,88,90,610,2565,562,694,5,42,3,2141,837.31
a82,서초구,서초3동,0.39,6884,65115,155,90,610,2565,562,694,6,33,5,2141,761.6
a83,서초구,서초2동,0.38,4253,49210,145,90,610,2565,562,694,4,39,3,2141,837.31
a84,서초구,서초1동,0.39,3047,26660,70,45,610,2565,562,694,4,35,3,2141,837.31
a85,관악구,미성동,0.37,1575,5201,137,7,695,1388,1326,682,8,98,2,1965,442.84
a86,서초구,반포4동,0.36,3382,29186,82,101,591,2845,610,723,6,29,2,3040,1219.41
a86,관악구,삼성동,0.33,1139,2615,116,41,476,2017,406,596,12,36,10,1626,442.84
a87,관악구,난곡동,0.36,935,1988,70,5,695,1388,1326,682,8,35,1,1965,442.84
a88,관악구,청룡동,0.48,1946,12463,72,6,496,1119,837,392,3,31,3,1575,505.23
a89,관악구,성현동,0.34,834,2449,60,6,496,1119,837,392,1,17,3,1575,505.23
a90,관악구,은천동,0.38,1673,7535,87,9,496,1119,837,392,4,36,3,1575,505.23
a91,관악구,대학동,0.50,1562,11988,164,9,695,1388,1326,682,7,34,4,1965,442.84
a92,관악구,조원동,0.42,2172,7225,80,18,695,1388,1326,682,13,98,4,1965,442.84
a93,관악구,난향동,0.33,392,1685,57,7,695,1388,1326,682,4,31,1,1965,442.84
a94,관악구,신림동,0.62,1744,5632,76,41,695,1388,1326,682,21,98,19,1965,442.84
a95,관악구,신사동,0.42,1451,4365,,47,431,1942,406,495,12,21,9,2209,396.2
a96,관악구,서림동,0.49,857,2755,78,7,695,1388,1326,682,6,36,4,1965,442.84
a97,관악구,신원동,0.41,877,2256,15,7,695,1388,1326,682,5,32,1,1965,442.84
a98,관악구,서원동,0.49,1298,6702,96,7,695,1388,1326,682,5,32,1,1965,442.84
a99,관악구,남현동,0.46,842,5952,40,25,143,413,195,150,2,11,3,468,504.08
a100,관악구,인헌동,0.45,1123,4406,32,22,496,1119,837,392,2,15,6,1575,505.23
a101,관악구,중앙동,0.46,1469,4681,94,5,496,1119,837,392,2,13,3,1575,505.23
a102,관악구,낙성대동,0.52,1277,7971,95,9,496,1119,837,392,4,16,6,1575,505.23
a103,관악구,행운동,0.48,1397,5161,73,9,496,1119,837,392,4,15,6,1575,505.23
a104,관악구,청림동,0.37,430,1059,16,7,496,1119,837,392,1,12,3,1575,505.23
a105,관악구,보라매동,0.39,1316,4966,66,12,496,1119,837,392,5,46,4,1575,505.23
a106,동작구,사당2동,0.39,1551,5323,121,33,273,930,428,287,6,25,5,903,767.07
a107,동작구,노량진1동,0.38,2893,11058,217,12,202,605,267,286,9,19,2,600,521.07
a108,동작구,흑석동,0.38,1622,9671,150,10,119,399,212,139,6,18,0,344,660.62
a109,동작구,신대방2동,0.37,1254,27372,74,12,336,679,645,284,7,35,1,971,546.53
a110,동작구,신대방1동,0.35,1050,4496,47,13,336,679,645,284,9,37,1,971,546.53
a111,동작구,대방동,0.37,1689,12717,193,17,201,557,313,263,2,29,3,624,571.67
a112,동작구,사당5동,0.39,517,1692,53,19,239,762,376,239,2,13,6,804,569.07
a113,동작구,사당4동,0.40,663,1638,6,22,239,762,376,239,1,9,3,804,569.07
a114,동작구,사당3동,0.37,1037,4303,51,28,239,762,376,239,3,18,3,804,569.07
a115,동작구,사당1동,0.46,1744,8660,66,24,239,762,376,239,2,11,3,804,569.07
a116,동작구,상도4동,0.38,1006,2879,67,12,334,801,536,291,3,39,2,1012,627.18
a117,동작구,상도3동,0.38,989,2720,68,17,334,801,536,291,2,36,2,1012,627.18
a118,동작구,상도2동,0.39,1261,4090,91,13,334,801,536,291,3,21,2,1012,627.18
a119,동작구,상도1동,0.43,1724,6250,141,11,334,801,536,291,3,15,2,1012,627.18
a120,동작구,노량진2동,0.37,1035,5138,88,12,182,526,243,239,2,25,3,522,521.07
a121,영등포구,문래동,0.37,4995,36161,117,28,264,861,653,288,2,41,7,719,0
a122,영등포구,도림동,0.39,1025,3138,45,19,207,579,645,210,4,31,5,591,440.49
a123,영등포구,영등포동,0.41,6076,34547,193,24,301,958,659,396,2,36,7,1050,545.23
a124,영등포구,영등포본동,0.36,1240,4537,51,26,517,1410,1046,592,2,45,8,1362,545.23
a125,영등포구,대림3동,0.37,2907,10781,70,28,387,943,946,381,10,42,5,938,453.65
a126,영등포구,대림2동,0.33,1408,4437,37,18,387,943,946,381,16,31,5,938,453.65
a127,영등포구,대림1동,0.34,1129,4079,39,16,387,943,946,381,12,22,1,938,453.65
a128,영등포구,신길7동,0.37,591,3030,62,16,510,1382,1035,578,3,46,2,1342,491
a129,영등포구,신길6동,0.37,1232,3974,62,13,510,1382,1035,578,7,26,1,1342,491
a130,영등포구,신길5동,0.32,689,2079,45,16,510,1382,1035,578,4,15,1,1342,491
a131,영등포구,신길4동,0.32,595,1567,30,8,510,1382,1035,578,1,32,1,1342,491
a132,영등포구,신길3동,0.32,1007,3056,48,18,510,1382,1035,578,4,32,5,1342,491
a133,영등포구,신길1동,0.38,1177,4035,75,19,510,1382,1035,578,3,45,1,1342,491
a134,영등포구,양평2동,0.41,2074,18234,125,36,337,1020,417,301,6,55,13,824,496.42
a135,영등포구,양평1동,0.42,3186,19922,59,22,238,763,311,247,2,19,3,667,499.85
a136,영등포구,당산2동,0.44,2164,16477,131,34,259,1018,230,243,5,36,3,787,559.86
a137,영등포구,당산1동,0.40,3092,16953,68,28,298,1165,321,286,3,34,3,906,524.57
a138,영등포구,여의동,0.34,7564,150020,293,65,466,1852,562,577,8,85,6,1387,742.3
a139,금천구,시흥5동,0.33,1204,3451,86,7,196,347,461,285,2,14,5,555,382.22
a140,금천구,시흥4동,0.34,882,1956,53,3,196,347,461,285,3,21,8,555,382.22
a141,금천구,시흥3동,0.34,3182,9142,41,6,196,347,461,285,0,11,5,555,382.22
a142,금천구,시흥2동,0.33,551,1787,29,3,196,347,461,285,1,14,4,555,382.22
a143,금천구,시흥1동,0.36,3018,13368,158,9,196,347,461,285,1,25,6,555,382.22
a144,금천구,독산4동,0.35,1060,3096,58,5,374,792,709,494,9,28,7,966,378.39
a145,금천구,독산3동,0.35,2226,8511,100,13,374,792,709,494,12,32,3,966,378.39
a146,금천구,독산2동,0.35,1237,3323,60,6,374,792,709,494,3,20,8,966,378.39
a147,금천구,독산1동,0.41,3233,18814,166,25,374,792,709,494,11,42,15,966,378.39
a148,금천구,가산동,0.46,11813,140007,211,32,351,780,623,372,16,52,17,893,409.53
a148,구로구,고척1동,0.35,2456,7829,77,8,141,412,417,195,4,13,1,547,410.46
a149,구로구,개봉1동,0.35,1772,5381,112,9,197,548,563,232,4,16,3,744,422.98
a150,구로구,구로2동,0.33,7577,25793,146,38,509,1307,1236,551,16,33,4,1297,436.34
a151,구로구,가리봉동,0.27,1032,2877,51,27,270,599,427,287,13,35,3,514,318.03
a152,구로구,수궁동,0.37,1091,5602,168,8,106,229,272,99,5,9,0,313,379.67
a153,구로구,오류2동,0.35,1406,6306,126,9,170,413,467,177,9,16,3,594,404.03
a154,구로구,오류1동,0.40,1080,4353,61,3,122,296,337,128,1,6,1,415,404.03
a155,구로구,개봉3동,0.36,1002,3803,32,9,197,548,563,232,4,12,2,744,422.98
a156,구로구,개봉2동,0.36,1170,2703,62,10,197,548,563,232,4,17,2,744,422.98
a157,구로구,고척2동,0.35,1155,3432,59,7,141,412,417,195,2,13,3,547,410.46
a159,구로구,구로5동,0.41,4619,24401,84,24,509,1307,1236,551,7,20,4,1297,436.34
a160,구로구,구로4동,0.37,2011,5476,78,28,509,1307,1236,551,13,25,4,1297,436.34
a161,구로구,구로3동,0.48,5737,78879,78,30,509,1307,1236,551,16,36,7,1297,436.34
a162,구로구,구로1동,0.40,675,2971,41,28,509,1307,1236,551,10,25,4,1297,436.34
a163,구로구,신도림동,0.38,2569,13854,104,24,218,638,634,245,5,16,10,606,549.21
a164,강서구,우장산동,0.36,1574,5940,94,10,464,1032,954,419,11,30,2,1511,471.88
a165,강서구,화곡1동,0.41,2987,8395,92,9,425,978,853,379,12,21,2,1409,471.88
a166,강서구,방화2동,0.36,3160,12658,167,20,125,258,235,131,6,14,0,262,433.18
a167,강서구,방화3동,0.36,853,3824,58,18,112,242,222,49,3,15,0,254,433.18
a168,강서구,방화1동,0.36,1957,7140,80,18,112,242,222,102,3,14,0,254,526.69
a169,강서구,공항동,0.39,1822,33019,144,13,148,233,343,118,5,11,0,329,526.69
a170,강서구,발산1동,0.36,2147,10930,125,15,238,491,495,215,12,31,2,751,526.69
a171,강서구,가양3동,0.38,861,6785,47,9,255,612,459,216,2,13,10,805,475.35
a172,강서구,가양2동,0.37,651,3293,33,7,146,396,256,135,2,17,0,508,475.35
a173,강서구,가양1동,0.38,1225,9936,134,16,246,560,466,227,6,32,0,753,475.35
a174,강서구,화곡8동,0.39,1214,3156,49,8,425,978,853,379,7,18,1,1409,471.88
a175,강서구,화곡6동,0.40,1831,11125,96,11,425,978,853,379,8,29,4,1409,471.88
a176,강서구,화곡4동,0.38,1445,3549,48,10,425,978,853,379,11,21,10,1409,471.88
a177,강서구,화곡3동,0.37,1177,3975,36,5,425,978,853,379,11,16,2,1409,471.88
a178,강서구,화곡2동,0.38,842,2340,49,8,425,978,853,379,9,18,1,1409,471.88
a179,강서구,화곡본동,0.41,1368,3954,69,11,425,978,853,379,13,20,2,1409,471.88
a180,강서구,등촌3동,0.37,2296,19501,120,10,339,795,676,285,2,21,0,1155,471.78
a181,강서구,등촌2동,0.38,712,3351,64,11,339,795,676,285,8,24,10,1155,471.78
a182,강서구,등촌1동,0.46,1742,10265,74,7,339,795,676,285,4,23,10,1155,471.78
a183,강서구,염창동,0.36,2157,15145,116,8,142,361,280,115,4,7,10,454,474.27
a184,양천구,신정4동,0.39,3010,12547,90,10,426,1054,916,418,6,18,4,1358,567.26
a185,양천구,목5동,0.32,1489,9703,112,19,340,975,516,334,7,28,13,1006,722.61
a186,양천구,신정7동,0.34,1016,4365,59,13,426,1054,916,418,4,20,3,1358,567.26
a187,양천구,신정6동,0.35,693,5130,78,14,426,1054,916,418,7,24,3,1358,567.26
a188,양천구,신정3동,0.35,1991,7934,259,12,426,1054,916,418,10,26,3,1358,567.26
a189,양천구,신정2동,0.34,1103,3708,29,11,426,1054,916,418,5,23,3,1358,567.26
a190,양천구,신정1동,0.32,1054,4451,81,11,426,1054,916,418,5,21,3,1358,567.26
a191,양천구,신월7동,0.36,1367,5355,78,3,344,680,790,289,7,10,0,995,382.84
a192,양천구,신월6동,0.34,1638,3473,36,5,344,680,790,289,6,11,0,995,382.84
a193,양천구,신월5동,0.36,951,3393,50,4,344,680,790,289,13,14,2,995,382.84
a194,양천구,신월4동,0.36,1150,3786,55,5,344,680,790,289,6,9,2,995,382.84
a195,양천구,신월3동,0.34,1005,4187,31,4,344,680,790,289,12,14,2,995,382.84
a196,양천구,신월2동,0.36,1101,3715,59,7,344,680,790,289,8,15,2,995,382.84
a197,양천구,신월1동,0.35,1779,5028,24,4,344,680,790,289,8,15,2,995,382.84
a198,양천구,목4동,0.36,1373,3666,57,9,340,975,516,334,5,20,8,1006,722.61
a199,양천구,목3동,0.40,1227,3917,56,9,340,975,516,334,8,16,10,1006,722.61
a200,양천구,목2동,0.40,1156,3604,49,10,340,975,516,334,6,15,10,1006,722.61
a201,양천구,목1동,0.34,2617,22037,120,23,340,975,516,334,5,33,6,1006,722.61
a202,마포구,아현동,0.40,1735,12492,85,41,243,974,299,280,6,49,1,530,505.13
a203,마포구,공덕동,0.37,2622,18749,88,48,269,1055,367,307,6,54,2,640,505.13
a204,마포구,서강동,0.42,1395,10170,76,35,307,2047,245,209,4,32,2,813,634.61
a205,마포구,도화동,0.36,1855,14318,61,31,167,506,237,189,4,32,1,404,539.77
a206,마포구,상암동,0.34,1761,28598,338,21,289,735,482,230,8,37,15,778,682.86
a207,마포구,성산2동,0.36,1675,8434,121,26,322,1754,351,226,10,29,5,554,624.37
a208,마포구,성산1동,0.39,1600,9378,97,26,310,1729,334,219,6,24,5,543,624.37
a209,마포구,연남동,0.43,1220,5242,30,25,280,1845,257,203,4,32,4,561,508.29
